Category,Server bans
CSAM,669
Cybercrime,"5,875"
Doxxing,456
Exploitative Content,"5,103"
Extremist or Violent Content,"2,212"
Hacks and Cheats,"3,207"
Harassment,"3,463"
Malware,236
NSFW,698
Other Issue,577
Platform Abuse,921
Raiding,414
Self-Harm Concerns,369
Spam,"3,210"
